lmfdb_index|coeffs|monogenic
1|-1,-2,7,2,-7,-1|1
1|-1,-3,6,4,-5,-1|1
1|-1,-2,4,5,-4,-2|1
1|1,-8,8,6,-6,-1|1
1|1,-5,2,8,-4,-2|1
1|-1,-2,5,4,-5,-1|1
1|1,-9,2,11,-5,-2|1
1|1,-5,4,7,-6,-1|1
1|1,-5,0,9,-2,-3|1
1|-1,3,9,-4,-9,0|0
1|-1,-9,7,9,-7,-1|1
1|-1,0,8,4,-6,-1|1
1|-1,-5,7,6,-6,-1|1
1|-7,0,14,0,-7,0|1
1|-1,2,7,-2,-6,0|1
1|-1,-3,4,6,-4,-2|1
1|-1,1,6,-2,-6,0|1
1|-8,0,24,0,-10,0|0
1|1,7,11,-2,-7,0|1
1|-3,0,9,0,-6,0|1
1|-1,-11,10,10,-6,-2|1
1|-1,0,6,-1,-6,0|1
1|-1,-12,12,7,-7,-1|1
1|1,-4,-1,9,-2,-3|1
1|1,-6,3,10,-3,-3|1
1|1,-9,6,9,-5,-2|1
1|-1,-3,3,7,-3,-3|1
1|-1,1,9,2,-6,-1|1
1|-7,-14,7,13,-4,-3|1
1|-1,1,11,-1,-7,0|0
1|-2,1,8,-1,-6,0|1
1|1,7,12,-1,-8,-1|1
1|-1,1,12,6,-6,-2|1
1|-13,0,19,0,-8,0|1
1|-8,-4,16,5,-8,-1|0
1|-1,3,12,2,-7,-1|0
1|-8,-8,14,9,-7,-2|0
1|-5,-1,13,0,-7,0|1
1|-1,-1,8,0,-6,0|1
1|-11,-4,19,5,-8,-1|1
1|1,-7,7,6,-6,-1|1
1|1,-6,6,6,-6,-1|1
1|-3,-2,9,3,-6,-1|1
1|2,10,12,-4,-8,0|1
1|-1,2,8,-1,-6,0|1
1|1,-9,10,6,-7,-1|0
1|-4,-6,13,5,-7,-1|0
1|-7,-14,21,8,-9,-1|1
1|-1,-1,9,3,-6,-1|1
1|-1,-2,7,4,-6,-2|1
1|4,-14,7,11,-6,-2|0
1|-1,-3,12,1,-10,-1|0
1|-3,-7,7,8,-5,-2|1
1|-2,0,8,0,-6,0|1
1|-13,-19,11,15,-5,-3|1
1|-1,5,10,-3,-7,0|1
1|-2,-3,6,6,-5,-2|1
1|1,-5,2,11,-8,-1|0
1|1,-17,12,12,-9,-1|0
1|-13,-20,11,17,-6,-3|1
1|-5,-6,11,6,-7,-1|1
1|-1,-5,7,7,-5,-2|1
1|-1,-2,7,5,-6,-1|1
1|-1,4,17,7,-7,-2|1
1|-13,-1,24,7,-9,-2|1
1|-2,-2,7,4,-6,-1|1
1|-5,-10,16,6,-8,-1|0
1|-1,-3,9,4,-6,-1|1
1|-7,-21,14,15,-8,-2|0
1|-1,-2,5,5,-6,-1|1
1|4,-14,9,10,-8,-1|0
1|1,-5,0,11,-5,-2|1
1|-2,0,12,0,-7,0|0
2|1,-4,0,10,-5,-2|1
1|-13,-15,17,14,-9,-2|1
1|-4,3,13,-1,-7,0|1
1|-1,0,8,0,-6,0|1
1|-8,0,36,0,-12,0|0
1|-2,-7,5,9,-5,-2|1
1|-1,12,18,-4,-9,0|0
1|5,-15,6,12,-6,-2|1
1|1,-8,12,4,-8,-1|1
1|-1,-1,10,-1,-7,0|1
1|-1,1,7,-1,-6,0|1
1|-1,-3,11,4,-7,-1|-1
1|-13,3,29,4,-10,-1|1
1|-3,9,12,-7,-9,0|1
1|-5,-10,19,13,-12,-1|0
1|-1,-8,4,10,-5,-2|1
1|-1,4,12,-1,-7,0|1
1|-1,2,6,-4,-7,0|1
1|-1,-3,7,6,-5,-2|1
1|-13,-18,22,11,-10,-1|0
1|-1,0,7,3,-6,-1|1
1|1,-3,-5,15,-6,-2|1
1|-3,0,18,12,-6,-3|1
1|-1,0,8,2,-6,-1|1
1|-13,-11,30,13,-10,-2|0
1|-4,-8,14,10,-7,-2|-1
1|1,-7,5,9,-5,-2|1
1|-2,-7,12,5,-7,-1|1
1|-1,15,18,-5,-9,0|1
1|8,-24,9,14,-7,-2|0
1|1,-16,23,18,-12,-2|0
1|-1,6,12,-2,-7,0|1
1|-1,-3,5,6,-6,-1|1
1|-13,-25,16,20,-10,-2|0
1|1,-8,8,10,-6,-2|-1
1|-1,0,9,3,-6,-1|1
1|-1,0,7,0,-6,0|1
1|-8,-5,14,5,-7,-1|1
1|-1,-1,7,2,-6,-1|1
1|-1,-4,6,6,-5,-2|1
1|-1,13,19,-4,-9,0|1
1|-2,-2,9,4,-6,-1|1
1|-1,-3,10,0,-8,0|1
1|-5,-15,9,14,-5,-3|-1
1|-1,3,12,-1,-7,0|1
1|1,-5,0,12,-6,-2|0
1|1,-5,3,8,-5,-2|1
1|-29,0,31,0,-10,0|1
1|-1,6,18,5,-9,-1|1
1|-1,-6,7,8,-5,-2|1
