lmfdb_index|coeffs|monogenic
1|1,-4,-4,10,4,-6,-1|1
1|1,-2,-10,7,9,-5,-2|1
1|1,-3,-4,9,4,-6,-1|1
1|1,-3,-9,7,9,-5,-2|1
1|-1,-3,3,11,-1,-7,0|1
1|1,0,-9,1,11,-3,-3|1
1|1,-1,-8,6,9,-5,-2|1
1|-1,-3,3,10,-2,-7,0|1
1|1,0,-8,5,9,-5,-2|1
1|1,-1,-10,5,10,-5,-2|1
1|1,-3,-3,10,3,-7,-1|1
1|-1,-6,-5,13,5,-7,-1|1
1|1,-7,-6,13,5,-7,-1|1
1|-5,-12,5,19,-1,-8,0|1
1|-1,-4,4,13,-1,-7,0|1
1|-1,-4,2,14,3,-7,-1|1
1|-1,-8,-2,15,4,-7,-1|1
1|3,-6,-10,12,7,-7,-1|1
1|-1,-5,-1,13,3,-7,-1|1
1|-1,-5,0,13,0,-7,0|1
1|1,4,-13,-1,13,-3,-3|1
1|1,-3,-6,8,8,-6,-2|1
1|-1,-5,0,12,2,-7,-1|1
1|1,-2,-11,10,8,-7,-1|1
1|1,-3,-5,11,6,-7,-1|1
1|1,-1,-7,5,9,-5,-2|1
1|-1,-3,5,12,-2,-7,0|1
1|1,-1,-7,6,8,-5,-2|1
1|1,-4,-1,12,1,-8,-1|1
1|-1,-4,3,11,-2,-7,0|1
1|1,0,-10,2,11,-3,-3|1
1|-1,-4,1,12,2,-7,-1|1
1|-1,-6,-6,11,8,-6,-2|1
1|1,1,-9,-2,13,-3,-3|1
1|1,8,-20,0,16,-4,-3|1
1|-1,-6,2,13,-1,-7,0|1
1|1,-1,-13,9,10,-6,-2|1
1|7,-7,-18,16,9,-8,-1|1
1|-2,-9,-2,15,4,-7,-1|1
1|-1,-4,1,13,3,-7,-1|1
1|-1,-8,-4,14,5,-7,-1|1
1|1,-2,-7,7,8,-5,-2|1
1|2,2,-12,-1,13,-3,-3|1
1|-1,-3,4,10,-4,-8,0|1
1|1,-3,-5,9,6,-7,-1|1
1|2,1,-12,1,12,-3,-3|1
1|-1,-4,2,12,-1,-7,0|1
1|1,-6,-7,12,8,-6,-2|1
1|-4,-10,5,18,-1,-8,0|0
1|1,-13,-1,19,0,-8,0|1
1|-1,-2,10,16,-3,-8,0|1
1|1,-1,-12,13,8,-8,-1|0
1|-1,-7,-3,13,4,-7,-1|1
1|-1,-3,4,11,-2,-7,0|1
1|1,2,-9,-6,17,-4,-3|1
1|-1,-6,-4,12,5,-7,-1|1
1|2,0,-11,1,12,-3,-3|1
1|-1,-8,5,15,-3,-8,0|1
1|1,-1,-10,15,6,-8,-1|1
1|1,-5,-10,11,9,-6,-2|1
1|-7,-26,-3,27,5,-9,-1|1
1|1,3,-12,-1,13,-3,-3|1
1|1,1,-17,2,15,-4,-3|0
1|5,-4,-15,9,11,-6,-2|1
1|-1,-6,-1,14,4,-7,-1|1
1|1,-3,-4,14,0,-8,0|1
1|-1,-7,-5,14,5,-7,-1|1
1|-1,9,-22,6,15,-7,-2|1
1|-1,9,-18,-1,16,-4,-3|1
1|-1,-2,8,18,2,-8,-1|1
1|1,-4,-2,12,3,-7,-1|1
1|-1,-5,2,17,4,-8,-1|0
1|-1,-8,-9,12,9,-6,-2|1
1|1,4,-22,14,10,-8,-1|1
1|-1,-6,-6,10,9,-6,-2|1
1|-1,-4,2,11,-1,-7,0|1
1|1,-8,-8,18,6,-8,-1|1
1|1,-1,-7,8,7,-7,-1|1
1|3,-13,-1,19,0,-8,0|1
1|1,-3,-4,13,3,-8,-1|1
1|1,-2,-6,11,5,-7,-1|1
1|-1,-10,-2,17,3,-8,-1|1
1|13,8,-35,0,23,-6,-3|1
1|1,-5,-4,13,5,-7,-1|1
1|1,-6,3,17,-1,-8,0|1
1|1,-1,-8,4,12,-6,-2|1
1|3,-2,-13,10,12,-9,-1|1
1|1,1,-11,1,12,-3,-3|1
1|1,-7,-5,14,5,-7,-1|1
1|1,2,-17,15,8,-8,-1|1
1|1,-4,-5,11,6,-8,-1|1
1|-1,-2,6,10,-5,-8,0|1
1|1,-7,3,15,-2,-8,0|1
1|-1,-12,-8,19,6,-8,-1|0
1|1,-1,-9,2,11,-3,-3|1
1|1,3,-12,1,14,-4,-3|1
1|-1,-3,4,15,2,-8,-1|1
1|5,-11,-10,19,6,-8,-1|1
1|1,1,-15,5,13,-6,-2|1
1|-4,-13,7,20,-3,-9,0|1
1|-5,-16,-3,20,5,-8,-1|1
1|1,-6,-6,14,5,-7,-1|1
1|-1,-6,-5,12,8,-6,-2|1
1|1,0,-9,0,12,-3,-3|1
1|-1,-9,-5,16,5,-8,-1|1
1|2,-10,0,17,-1,-8,0|1
1|2,-3,-14,5,16,-5,-3|1
1|7,-8,-16,15,9,-8,-1|1
1|1,2,-10,-2,13,-3,-3|1
1|1,-4,-7,11,9,-6,-2|1
1|1,-1,-8,10,8,-8,-1|1
1|1,3,-8,-9,18,-4,-3|1
1|-1,-5,3,13,-1,-7,0|1
1|3,-7,-7,14,5,-7,-1|1
1|1,1,-11,7,11,-8,-1|1
1|1,-15,-9,20,6,-8,-1|1
1|1,-6,-8,12,8,-8,-1|1
1|-3,-11,6,18,-2,-8,0|1
1|1,-1,-8,8,8,-7,-1|1
1|5,5,-22,1,16,-4,-3|1
1|1,-6,-1,13,0,-7,0|1
1|3,-5,-9,13,6,-7,-1|1
1|3,-6,-7,13,5,-7,-1|1
1|1,3,-17,6,14,-7,-2|1
1|-1,-5,-2,12,4,-7,-1|1
1|-1,-6,0,14,3,-7,-1|1
1|1,2,-19,13,10,-8,-1|1
1|9,-9,-20,15,12,-7,-2|0
1|-4,-10,5,20,1,-9,-1|0
1|-2,-12,4,19,-1,-8,0|1
1|1,-3,-11,12,7,-7,-1|1
1|1,-7,-4,14,4,-7,-1|1
1|-1,-5,1,14,3,-7,-1|1
1|5,-3,-16,8,12,-6,-2|1
1|-1,10,-26,17,10,-9,-1|1
1|2,-5,-5,12,4,-7,-1|1
1|1,2,-8,-7,17,-4,-3|1
1|-1,-5,2,12,-1,-7,0|1
1|1,1,-11,1,14,-6,-2|1
1|1,-1,-10,3,13,-6,-2|1
1|3,-21,2,26,-2,-10,0|1
1|4,-16,-8,23,5,-9,-1|0
1|1,4,-18,9,13,-7,-2|0
1|4,-8,-11,16,10,-7,-2|0
1|4,-2,-15,5,13,-4,-3|0
1|6,-5,-16,10,11,-6,-2|1
1|1,-5,-1,12,0,-7,0|1
1|1,-1,-8,11,6,-8,-1|1
1|-4,-14,-3,19,5,-8,-1|0
1|-1,-6,-5,13,6,-8,-1|1
1|-1,-6,-4,14,9,-9,-1|1
1|-1,7,-11,-9,20,-5,-3|1
1|1,-5,-3,12,3,-7,-1|1
1|1,-3,-5,11,8,-6,-2|1
1|-1,-5,0,16,5,-8,-1|1
1|2,-6,-9,12,9,-6,-2|1
1|-1,-3,4,13,0,-8,-1|1
1|1,-7,-7,13,6,-7,-1|1
1|1,3,-16,3,14,-4,-3|1
1|-1,-10,0,17,0,-8,0|1
1|1,-7,0,16,-1,-8,0|1
1|1,5,-19,6,13,-6,-2|1
1|1,-1,-9,13,6,-8,-1|1
1|1,-1,-11,6,11,-6,-2|1
1|-1,-6,-2,14,4,-7,-1|1
1|1,1,-10,0,12,-3,-3|1
1|-1,-4,2,12,0,-8,-1|1
1|1,0,-15,9,11,-6,-2|1
1|4,-12,-7,19,5,-8,-1|0
1|-1,-6,3,17,-1,-8,0|1
1|1,0,-10,10,7,-7,-1|1
1|1,0,-11,2,14,-5,-3|1
1|-1,-5,-1,15,0,-8,0|1
1|5,-6,-14,11,10,-6,-2|1
1|1,2,-8,-6,19,-5,-3|1
1|1,4,-22,0,19,-5,-3|1
1|3,-6,-14,10,11,-6,-2|1
1|1,2,-12,5,12,-6,-2|1
1|-1,-6,-5,11,8,-7,-2|1
1|1,-2,-8,7,13,-7,-2|1
1|1,-4,-4,15,0,-8,0|1
1|-1,-9,-15,8,15,-5,-3|0
1|-1,-2,7,14,-3,-8,0|1
1|1,-1,-18,15,9,-8,-1|1
1|4,-6,-13,13,9,-8,-1|0
1|1,-13,-4,19,4,-8,-1|1
1|-1,-5,-1,14,6,-8,-1|1
1|2,-4,-9,13,6,-7,-1|1
