lmfdb_index|coeffs|monogenic
1|1,3,-5,-7,0|1
1|-2,2,7,-6,-1|1
1|-5,2,10,-5,-2|1
1|-2,3,5,-6,-2|1
1|-4,7,4,-8,-1|1
1|2,5,-2,-8,0|1
1|13,20,-3,-9,0|1
1|-2,12,4,-7,-1|1
1|-1,10,-5,-10,0|-1
1|-3,5,6,-6,-1|1
1|-9,2,13,-6,-2|1
1|-3,10,0,-7,0|1
1|2,16,3,-8,-1|1
1|-5,10,8,-6,-2|1
1|-4,12,8,-7,-2|0
1|-3,6,6,-5,-2|1
1|-5,5,7,-5,-2|1
1|-3,7,5,-6,-2|1
1|-4,7,5,-6,-1|1
1|-4,5,6,-6,-1|1
1|4,11,1,-7,-1|1
1|5,9,-3,-7,0|1
1|1,6,-1,-6,0|1
1|1,3,-7,-8,0|1
1|-2,-2,11,-5,-2|1
1|-1,11,0,-7,0|1
1|1,6,3,-6,-1|1
1|-1,2,9,-7,-1|1
1|-2,6,1,-7,-1|1
1|1,7,-3,-7,0|1
1|-1,-6,15,-6,-2|1
1|-1,6,0,-7,-1|1
1|-3,8,0,-7,0|1
1|1,6,-1,-7,-1|1
1|-1,7,-6,-9,0|1
1|-1,4,2,-6,-1|1
1|-10,4,12,-6,-2|1
1|-3,1,10,-5,-2|1
1|-3,10,3,-7,-1|1
1|-6,5,8,-5,-2|1
1|-3,6,3,-7,-1|1
1|-1,-5,19,-8,-2|0
1|-5,4,9,-5,-2|1
1|1,6,6,-6,-2|1
1|-11,5,12,-6,-2|1
1|3,11,-1,-7,0|1
1|1,7,8,-6,-2|1
1|-1,2,6,-6,-1|1
1|3,6,-3,-8,0|1
1|1,3,-3,-7,0|1
1|-1,4,8,-5,-2|1
1|-15,12,12,-7,-2|1
1|1,7,3,-6,-1|1
1|-2,7,-1,-7,0|1
1|1,5,-4,-7,0|1
1|-1,4,4,-5,-2|1
1|-4,4,9,-7,-2|0
1|1,6,5,-7,-1|1
1|-1,3,6,-6,-1|1
1|-2,7,3,-6,-1|1
1|-6,4,9,-5,-2|1
1|1,7,9,-8,-2|0
1|1,4,-1,-7,-1|1
1|2,5,-2,-7,0|1
1|-5,-6,18,-7,-2|1
1|-4,8,4,-7,-1|0
1|-1,6,7,-5,-2|1
1|-1,-1,10,-5,-2|1
1|12,18,-3,-9,0|0
1|2,6,0,-7,-1|1
1|1,6,2,-6,-1|1
1|-1,7,4,-6,-2|1
1|-1,5,0,-7,-1|1
1|5,10,-2,-7,0|1
1|-2,4,4,-6,-2|1
1|-1,6,-4,-8,0|1
1|-1,7,-3,-8,0|0
1|3,12,3,-7,-1|1
1|1,11,6,-6,-2|1
1|-1,6,2,-6,-1|1
1|-2,4,4,-7,-2|1
1|-1,4,1,-7,-1|1
1|-2,4,6,-6,-1|1
1|-11,14,6,-8,-1|1
1|-1,-2,13,-8,-1|1
1|-3,10,4,-7,-1|0
1|-1,-1,9,-5,-2|1
1|-2,12,2,-8,-1|1
1|-3,3,9,-5,-2|1
1|8,20,-2,-10,0|0
1|-2,6,5,-6,-1|1
1|3,6,-4,-7,0|1
