lmfdb_index|coeffs|monogenic
1|-1,2,7,-12,-8,14,0,-4|1
1|-1,9,6,-23,-5,17,-1,-4|1
1|1,0,-8,0,14,0,-7,0|1
1|1,4,-10,-10,15,6,-7,-1|1
1|-1,4,2,-18,4,16,-7,-2|1
1|-1,11,-5,-36,17,26,-12,-2|0
1|-1,9,-8,-18,14,11,-7,-2|1
1|1,0,-9,-3,15,4,-7,-1|1
1|1,1,-7,-4,13,4,-7,-1|1
1|1,2,-6,-9,11,9,-6,-2|1
1|1,3,-4,-13,5,13,-4,-3|1
1|1,2,-10,-7,15,5,-7,-1|1
1|1,-4,-13,7,19,-2,-8,0|1
1|1,2,-7,-11,11,10,-6,-2|1
1|1,4,-14,-12,21,8,-9,-1|0
1|-1,14,-14,-24,22,12,-9,-2|0
1|1,0,-10,5,17,-5,-10,0|1
1|1,7,-1,-25,5,20,-6,-3|1
1|1,1,-9,-10,15,10,-9,-1|1
1|-1,7,-1,-19,5,14,-4,-3|1
1|1,0,-12,0,19,0,-8,0|1
1|-1,-9,-17,9,23,-2,-9,0|1
1|1,0,-17,0,44,0,-13,0|0
1|-1,5,-2,-17,16,8,-8,-1|1
1|-1,8,2,-23,2,18,-5,-3|0
1|-1,5,7,-23,1,16,-4,-3|1
1|-1,17,-9,-31,17,15,-8,-2|1
1|1,0,-10,3,16,-2,-8,0|1
1|1,5,0,-18,2,15,-4,-3|1
1|1,1,-8,-4,14,4,-7,-1|1
1|1,4,-5,-15,8,15,-5,-3|1
1|-1,4,4,-16,-3,15,-1,-4|1
1|-1,6,-5,-16,12,11,-7,-2|1
1|1,3,-9,-9,14,6,-7,-1|1
1|-1,10,-8,-20,17,9,-8,-1|1
1|-1,2,9,-21,0,16,-4,-3|1
1|-1,2,9,-17,-6,18,-4,-3|1
1|1,-2,-12,-1,18,3,-8,-1|1
1|-1,10,13,-41,10,19,-8,-2|1
1|-1,6,-1,-19,9,12,-6,-2|1
1|1,8,6,-21,-6,17,-1,-4|1
1|1,3,-8,-13,12,10,-6,-2|1
1|-1,8,-12,-14,19,7,-8,-1|1
1|1,1,-9,-6,14,5,-7,-1|1
1|2,4,-9,-13,12,10,-6,-2|1
1|1,6,-6,-17,11,11,-6,-2|1
1|1,0,-16,0,20,0,-8,0|1
1|2,-1,-12,2,18,-1,-8,0|1
1|1,5,-22,-5,33,0,-12,0|0
1|-1,5,1,-18,4,14,-4,-3|1
1|-1,9,0,-22,4,15,-4,-3|1
1|-1,-7,-12,6,20,-1,-9,0|1
1|1,-1,-15,1,22,-1,-9,0|0
1|1,3,-8,-11,12,9,-6,-2|1
1|-1,4,2,-16,-1,16,-2,-4|1
1|1,1,-10,-6,15,5,-7,-1|1
1|1,8,-2,-21,4,15,-4,-3|1
1|1,11,-14,-20,20,10,-9,-1|1
1|-1,6,8,-21,-6,17,-1,-4|1
1|1,1,-10,-14,11,13,-5,-3|1
1|-1,6,-3,-17,10,11,-6,-2|1
1|-1,13,-12,-35,13,19,-6,-3|1
1|11,0,-31,0,27,0,-9,0|1
1|-1,14,15,-49,7,24,-7,-3|0
1|1,-1,-13,-7,18,9,-7,-2|1
1|1,-4,-12,8,21,-4,-10,0|0
1|1,2,-11,-2,18,0,-8,0|1
1|1,2,-11,-1,17,0,-8,0|1
1|1,3,-5,-13,9,11,-6,-2|1
1|1,7,-28,-20,30,9,-10,-1|0
1|1,3,-6,-14,14,9,-8,-1|1
1|1,-2,-13,4,21,-2,-9,0|1
1|1,5,-7,-16,11,11,-6,-2|1
1|-19,61,-20,-61,35,17,-12,-1|1
1|-1,3,7,-23,2,18,-5,-3|0
1|1,0,-10,-7,16,9,-7,-2|1
1|-1,7,-4,-17,10,11,-6,-2|1
1|-19,51,3,-70,25,22,-10,-2|0
1|-1,-7,-11,10,21,-3,-9,0|1
1|1,3,-5,-12,9,12,-5,-3|1
1|-1,4,6,-22,1,16,-4,-3|1
1|1,1,-8,-7,15,7,-8,-1|1
1|-1,6,-5,-15,16,8,-8,-1|1
1|1,4,-5,-17,15,9,-8,-1|1
1|1,19,-6,-42,18,19,-9,-2|0
1|1,3,-11,-11,17,10,-7,-2|1
1|-1,12,-34,-2,35,-1,-11,0|0
2|1,23,-28,-29,30,13,-10,-2|0
1|-1,19,-16,-33,27,15,-12,-1|0
1|3,2,-18,-6,21,5,-8,-1|1
1|1,-3,-18,3,23,-1,-9,0|1
1|-1,22,-9,-39,25,13,-10,-1|1
1|1,1,-13,-2,20,4,-8,-1|1
1|1,4,-12,-9,19,6,-8,-1|1
1|1,3,-8,-11,14,10,-7,-2|0
1|-1,-16,-25,17,37,-2,-12,0|0
1|1,-4,-12,6,20,-2,-9,0|1
1|-11,25,14,-44,2,23,-6,-3|1
1|5,-5,-31,-4,28,5,-9,-1|1
1|-1,-1,19,-27,-5,21,-5,-3|1
1|-1,4,3,-17,2,17,-5,-3|1
1|1,2,-7,-7,14,6,-8,-1|1
1|1,0,-12,1,19,1,-9,-1|1
1|1,2,-11,-15,16,11,-7,-2|0
1|1,5,-8,-14,14,9,-8,-1|1
1|-1,3,5,-15,-6,16,-1,-4|1
1|-1,6,-3,-20,8,18,-4,-4|1
1|2,5,-9,-14,12,10,-6,-2|1
1|5,5,-19,-12,22,7,-9,-1|0
1|-1,5,-3,-14,14,8,-8,-1|1
1|-1,7,-9,-16,17,10,-8,-2|1
1|-1,5,-1,-18,7,14,-5,-3|1
1|1,9,-3,-27,13,14,-7,-2|1
1|1,-1,-13,3,19,-1,-8,0|1
1|-1,4,8,-29,10,15,-7,-2|1
1|1,8,-12,-16,18,8,-8,-1|1
1|1,3,-6,-13,11,10,-6,-2|1
1|1,1,-9,-6,17,9,-7,-2|1
1|1,5,-7,-14,11,10,-6,-2|1
1|1,6,-11,-28,14,19,-9,-2|0
1|-1,6,-7,-11,16,6,-8,-1|1
1|1,3,-6,-12,13,11,-9,-1|1
1|1,4,-7,-15,10,13,-5,-3|1
1|1,-2,-9,6,19,-3,-9,0|1
1|-1,8,-8,-18,18,8,-8,-1|1
1|5,10,-16,-21,17,12,-7,-2|1
1|1,-36,114,-102,-1,36,-9,-3|1
1|1,4,-9,-10,16,7,-8,-1|1
1|1,6,2,-18,-4,16,-1,-4|1
1|2,0,-16,0,20,0,-8,0|1
1|16,0,-56,0,52,0,-14,0|0
1|1,-2,-9,4,16,-2,-8,0|1
1|1,-13,44,-45,-5,25,-6,-3|1
1|1,9,5,-25,-2,20,-5,-3|1
1|1,-4,-6,20,23,-6,-10,0|1
1|-1,4,3,-23,11,16,-8,-2|1
1|1,7,-7,-17,11,11,-6,-2|1
1|4,-6,-21,9,25,-2,-9,0|0
1|-1,15,-4,-31,10,18,-6,-3|0
1|1,5,-4,-16,6,13,-4,-3|1
1|-1,6,-1,-23,3,18,-5,-3|1
1|-5,20,-11,-29,23,10,-9,-1|1
1|-1,-9,-19,0,24,5,-9,-1|0
1|-19,55,1,-68,16,26,-8,-3|0
2|1,-1,-36,-16,35,9,-11,-1|0
1|1,9,-12,-25,16,15,-8,-2|1
1|-1,7,-10,-14,20,8,-9,-1|1
1|1,1,-13,4,23,-4,-12,0|0
1|1,-3,-10,9,17,-5,-9,0|1
1|-1,10,-25,-5,29,0,-10,0|1
1|-1,4,2,-17,1,17,-5,-3|1
1|4,4,-21,-8,25,6,-9,-1|0
1|-1,8,-10,-16,17,10,-8,-2|1
1|-1,2,13,-31,8,16,-7,-2|1
1|1,-2,-13,-1,20,4,-8,-1|1
1|1,3,-6,-14,16,10,-9,-1|1
1|-1,6,2,-20,3,15,-4,-3|1
1|1,5,-13,-9,19,6,-8,-1|1
1|3,7,-14,-15,18,8,-8,-1|1
1|1,-2,-11,6,18,-2,-8,0|1
1|3,-2,-15,6,20,-3,-9,0|1
1|1,0,-12,-6,18,6,-8,-1|1
1|19,0,-45,0,34,0,-10,0|1
1|1,1,-14,-1,19,0,-8,0|1
1|7,-2,-24,4,25,-1,-9,0|1
1|1,23,-39,-21,38,8,-11,-1|0
1|-1,3,6,-19,1,15,-4,-3|1
1|-1,12,6,-28,-1,20,-5,-3|1
1|1,4,-11,-18,17,16,-9,-2|1
1|4,0,-24,0,30,0,-12,0|0
1|-1,-12,-20,11,25,-2,-9,0|1
1|-2,5,7,-18,-5,16,-1,-4|1
1|1,1,-14,-4,19,4,-8,-1|1
1|-1,-8,-11,15,21,-6,-10,0|1
1|1,0,-11,0,24,0,-11,0|-1
1|1,6,-21,-2,25,0,-9,0|1
1|-1,3,10,-19,-7,17,-1,-4|1
1|1,4,-5,-20,8,15,-5,-3|0
1|1,6,-13,-10,19,6,-8,-1|1
1|11,31,-4,-45,1,23,-3,-4|1
1|-1,4,3,-18,3,17,-5,-3|1
1|-1,8,4,-30,11,15,-7,-2|1
1|1,9,0,-24,0,18,-2,-4|1
1|1,8,-13,-15,19,7,-8,-1|1
1|-1,4,4,-25,11,14,-7,-2|1
1|1,-3,-12,3,18,-1,-8,0|1
1|1,-1,-12,3,18,-1,-8,0|1
1|1,24,2,-43,0,23,-3,-4|1
1|1,4,-13,-8,21,5,-9,-1|0
1|-1,-8,-14,7,23,-1,-9,0|1
1|1,-2,-10,11,22,-3,-9,0|1
1|-1,8,-10,-17,18,8,-8,-1|1
1|1,4,-12,-21,11,15,-5,-3|1
1|1,17,-5,-34,14,17,-8,-2|1
1|2,12,-1,-27,4,18,-5,-3|1
1|1,4,-6,-16,15,9,-8,-1|1
1|-4,22,3,-40,7,21,-6,-3|0
1|11,3,-43,-19,35,13,-10,-2|0
1|1,-2,-15,-8,21,12,-9,-2|1
1|3,0,-17,0,20,0,-8,0|1
1|1,5,-15,-10,21,6,-9,-1|0
1|-11,30,0,-46,16,20,-9,-2|1
1|-1,7,0,-19,4,14,-4,-3|1
1|-1,-8,-15,6,25,3,-9,-1|1
1|-2,9,-2,-23,8,16,-5,-3|1
1|-1,3,7,-18,-7,17,-1,-4|1
1|-1,7,-2,-19,9,12,-6,-2|1
1|-1,5,7,-18,-7,17,-1,-4|1
1|-2,7,3,-20,2,15,-4,-3|1
1|-1,5,2,-20,3,15,-4,-3|1
1|-1,-6,-7,12,19,-4,-9,0|1
1|-5,-45,-90,-5,61,9,-14,-1|0
1|-1,1,16,-30,1,19,-5,-3|1
1|-1,4,10,-27,0,21,-6,-3|0
1|1,4,-4,-20,4,20,-4,-4|0
1|-1,6,-4,-22,15,17,-9,-2|1
1|-1,-22,-47,24,45,-6,-13,0|0
1|1,0,-9,1,20,-1,-9,0|0
1|11,10,-35,-27,33,20,-9,-3|0
1|1,3,-9,-10,18,6,-8,-1|1
